n,ID,ID_next,length,area,lake,endorheic,S_0,S_max,Coeff,power,lake_type,slope,target_vol,lake_type_for_target_vol
69,3006884,3028371.0,11119.0446968147,338017316.3664772,0.0,0.0,1000000.0,1691086581.832386,0.01,1.5,0.0,0.0001,0.0,0.0
70,3007047,3028633.0,18602.38146499677,341921098.37866724,0.0,0.0,1000000.0,1710605491.8933363,0.01,1.5,0.0,0.0001,0.0,0.0
71,3007173,3034147.0,14336.844567952405,341488040.7425304,0.0,0.0,1000000.0,1708440203.712652,0.01,1.5,0.0,0.0001,0.0,0.0
72,3007258,3022211.0,13372.49800642322,343104595.74043787,0.0,0.0,1000000.0,1716522978.7021894,0.01,1.5,0.0,0.0001,0.0,0.0
73,3007374,3021763.0,13475.694816656674,349093226.742612,0.0,0.0,1000000.0,1746466133.71306,0.01,1.5,0.0,0.0001,0.0,0.0
74,3007455,7000591.0,1.0,339195536.1512937,0.0,0.0,1000000.0,1696977680.7564685,0.01,1.5,0.0,0.0001,0.0,0.0
75,3007479,3029513.0,23634.82229138617,351078649.1804358,0.0,0.0,1000000.0,1756393245.9021788,0.01,1.5,0.0,0.0001,0.0,0.0
76,3007560,3031528.0,16582.72848409081,352586029.5685408,0.0,0.0,1000000.0,1763930147.842704,0.01,1.5,0.0,0.0001,0.0,0.0
77,3007642,3032971.0,18637.33077220121,352976506.2832461,0.0,0.0,1000000.0,1765882531.4162304,0.01,1.5,0.0,0.0001,0.0,0.0
78,3007649,3020823.0,11934.650516802045,351758612.1434697,0.0,0.0,1000000.0,1759793060.7173486,0.01,1.5,0.0,0.0001,0.0,0.0
79,3007744,3028089.0,6312.610913583489,352091341.78160733,0.0,0.0,1000000.0,1761456708.9080367,0.01,1.5,0.0,0.0001,0.0,0.0
80,3007816,3040262.0,18951.167374592063,351000701.173211,0.0,0.0,1000000.0,1756003505.866055,0.01,1.5,0.0,0.0001,0.0,0.0
81,3007875,3026061.0,6029.437137055204,354195422.26992947,0.0,0.0,1000000.0,1771977111.3496473,0.01,1.5,0.0,0.0001,0.0,0.0
82,3008115,3018492.0,17746.139096606057,358285572.85797656,0.0,0.0,1000000.0,1792427864.2898827,0.01,1.5,0.0,0.0001,0.0,0.0
83,3008289,7000579.0,11859.657022625212,355445037.74341047,0.0,0.0,1000000.0,1778225188.7170525,0.01,1.5,0.0,0.0001,0.0,0.0
84,3008371,7007482.0,16985.810892439284,364052807.2037437,0.0,0.0,1000000.0,1821264036.0187185,0.01,1.5,0.0,0.0001,0.0,0.0
85,3008491,3025025.0,28384.551087910622,364540546.0787064,0.0,0.0,1000000.0,1823702730.3935318,0.01,1.5,0.0,0.0001,0.0,0.0
