,S_1_hruid,S_1_PFAF,S_1_area_org,ID_t,lat_t,lon_t,order_t,AS1,IDS1,lat_s,lon_s,ID_s,AS2,IDS2,AINT,AP1,AP2,weight,AP2N
5094,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.5,-122.80000305175781,4598,75568923.53752427,4598,44745434.03590453,0.17989987982521646,0.5921142176080605,0.17989987982521638,0.5921142176080605
5090,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.5,-122.9000015258789,4597,75566040.87784259,4597,55048988.37095392,0.22132551858783536,0.7284884550183618,0.22132551858783525,0.7284884550183618
5095,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.5,-122.69999694824219,4599,75568923.53750968,4599,11763595.646073136,0.04729576298986987,0.1556671062044984,0.04729576298986985,0.15566710620449836
5093,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.400001525878906,-122.80000305175781,4699,75740420.27189574,4699,5460185.685834913,0.021952781772479037,0.07209077618309666,0.021952781772479026,0.07209077618309667
5086,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.400001525878906,-122.9000015258789,4698,75737531.07028255,4698,23598131.897771608,0.09487674405174425,0.31157778137596176,0.0948767440517442,0.31157778137596176
5087,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.400001525878906,-123.0999984741211,4696,75737531.0702533,4696,2270096.967986821,0.009126968606555876,0.029973210585397935,0.009126968606555872,0.029973210585397928
5088,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.400001525878906,-123.0,4697,75737531.07029717,4697,25455116.30933222,0.10234278566414631,0.33609646300333706,0.10234278566414627,0.3360964630033371
5091,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.5,-123.0,4596,75566040.87785718,4596,55079498.46232068,0.2214481849981317,0.7288922090195201,0.2214481849981316,0.7288922090195201
5089,3000137,3145364,248724090.75191477,3000137,52.47668931590078,-122.92537712060805,267,248724090.75190824,267,52.5,-123.0999984741211,4595,75566040.87781341,4595,25303043.375730503,0.10173137350402145,0.3348467523479798,0.10173137350402141,0.3348467523479798
7915,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.099998474121094,-119.5999984741211,4024,74542171.55901943,4024,39386542.13027606,0.15578072045724828,0.52837932282522,0.15578072045724833,0.5283793228252198
7914,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.0,-119.5999984741211,4125,74712225.04569578,4125,347207.1759153188,0.0013732656152731374,0.004647260548095824,0.0013732656152731378,0.004647260548095824
7917,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.20000076293945,-119.4000015258789,3925,74370454.86697161,3925,60282539.37652157,0.23842807484865003,0.8105710726705994,0.2384280748486501,0.8105710726705994
7921,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.29999923706055,-119.4000015258789,3824,74198502.15169369,3824,15475.967511376053,6.1210180896838e-05,0.00020857520115077945,6.121018089683803e-05,0.0002138714745866423
7910,3000366,3146992,252833226.18273064,3000366,53.14566748645573,-119.4815745182674,401,252833226.18272984,401,53.099998474121094,-119.30000305175781,4027,74545015.16057582,4027,87989.61744238314,0.0003480144551048465,0.0011803554839025332,0.0003480144551048466,0.0011803554839025332
